postnr,by,kortnavn,væsensnavn,adresse,latitude,bibliotekstype,id,longitude,navn
4261,Dalmose,Dalmose Servicepunkt,Slagelse Bibliotekerne,Lodsvej 1,55.2914514,Folkebibliotek,733010,11.4231076,Dalmose Servicepunkt Dagli¿ Brugsen
4660,Store Heddinge,Stevns Bibliotekerne,Stevns Bibliotekerne,Kirketorvet 2,55.312584,Folkebibliotek,733600,12.389713,Store Heddinge Bibliotek
4652,Hårlev,Hårlev Bibliotek,Stevns Bibliotekerne,Bredgade 1,55.350787,Folkebibliotek,733601,12.233255,Hårlev Bibliotek
4600,Køge,Strøby Egede Bibliotek,Stevns Bibliotekerne,Kystvejen 7A,55.416757,Folkebibliotek,733602,12.243619,Strøby Egede Bibliotek
4180,Sorø,Sorø Bibliotek,Sorø Bibliotek,Storgade 7,55.432372,Folkebibliotek,734000,11.5560836,Sorø Bibliotek
4293,Dianalund,Dianalund Bibliotek,Sorø Bibliotek,Sømosevej 44,55.5271989,Folkebibliotek,734001,11.4947972,Dianalund Bibliotek
4295,Stenlille,Afhentningssted Stenlille,Sorø Bibliotek,Hovedgaden 40,55.5395021,Folkebibliotek,734010,11.5902258,Afhentningssted Stenlille Røde Kors Butik
4070,Kirke-Hyllinge,Kirke Hyllinge Bibliotek,Lejre Bibliotekerne,Bygaden 53,55.708438,Folkebibliotek,735000,11.898669,Kirke Hyllinge Bibliotek
4330,Hvalsø,Hvalsø Bibliotek,Lejre Bibliotekerne,Skolevej 12,55.5932207,Folkebibliotek,735001,11.8575913,Hvalsø Bibliotek
4320,Lejre,Osted Bibliotek,Lejre Bibliotekerne,"Langetoften 25, Osted",55.5619859,Folkebibliotek,735002,11.9627256,Osted Bibliotek
4320,Lejre,Lejre Bibliotek,Lejre Bibliotekerne,Stationsvej 2,,Folkebibliotek,735003,,Lejre Bibliotek
4000,Roskilde,Gevninge Bibliotek,Lejre Bibliotekerne,Gevninge Bygade 19,,Folkebibliotek,735004,,Gevninge Bibliotek
4900,Nakskov,Nakskov,LollandBibliotekerne,Søvej 8,54.834957,Folkebibliotek,736000,11.138254,"LollandBibliotekerne, Nakskov"
4930,Maribo,Maribo,LollandBibliotekerne,Østre Landevej 33,54.777015,Folkebibliotek,736001,11.514946,"LollandBibliotekerne, Maribo"
4970,Rødby,Rødbyhavn,LollandBibliotekerne,"Skolegade 1, Rødbyhavn",54.661133,Folkebibliotek,736002,11.354695,"Lollandbibliotekerne, Rødbyhavn Bibliotek"
4920,Søllested,Søllested bibliotekspunkt,LollandBibliotekerne,Jernbanegade 18,54.8109615,Folkebibliotek,736011,11.2683734,LollandBibliotekerne. Søllested bibliotekspunkt: Fakta
4913,Horslunde,Horslunde bibliotekspunkt,LollandBibliotekerne,Hovedgaden 6,54.9101833,Folkebibliotek,736012,11.2170846,LollandBibliotekerne. Horslunde bibliotekspunkt: Horslunde Bageri
4960,Holeby,Holeby bibliotekspunkt,LollandBibliotekerne,Vestervej 3c,54.708818,Folkebibliotek,736013,11.473089,LollandBibliotekerne. Holeby bibliotekspunkt: Dagli' Brugsen
4944,Fejø,Fejø bibliotekspunkt,LollandBibliotekerne,Herredsvej 259,54.9511807,Folkebibliotek,736014,11.4294413,LollandBibliotekerne. Fejø  bibliotekspunkt: Letkøb Fejø
4930,Maribo,Femø bibliotekspunkt,LollandBibliotekerne,Kirkehældevej 29,54.970681,Folkebibliotek,736015,11.531587,LollandBibliotekerne. Femø bibliotekspunkt: Femø præstegård
4952,Stokkemarke,Stokkemarke bibliotekspunkt,LollandBibliotekerne,Vestre Landevej 270,54.8373407,Folkebibliotek,736017,11.366563,LollandBibliotekerne. Stokkemarke bibliotekspunkt: Dagli'Brugsen
4983,Dannemare,Dannemare bibliotekspunkt,LollandBibliotekerne,Bygaden 53,54.760606,Folkebibliotek,736018,11.187368,LollandBibliotekerne. Dannemare bibliotekspunkt: Dagli'Brugsen
4700,Næstved,Næstved Bibliotek,Næstved Bibliotek  og Borgerservice,Kvægtorvet 4-6,55.233164,Folkebibliotek,737000,11.760422,Næstved Bibliotek
4684,Holmegaard,Fensmark Bibliotek,Næstved Bibliotek  og Borgerservice,"Kildegårdsvej 56, Fensmark",55.2784,Folkebibliotek,737001,11.808098,Fensmark Bibliotek
4250,Fuglebjerg,Fuglebjerg  Bibliotek,Næstved Bibliotek  og Borgerservice,Byagervej 1,55.302835,Folkebibliotek,737002,11.543996,Fuglebjerg Bibliotek
4171,Glumsø,Glumsø Bibliotek,Næstved Bibliotek  og Borgerservice,Torvet 1,55.354264,Folkebibliotek,737003,11.690303,Glumsø Bibliotek
4733,Tappernøje,Korskilde Bibliotek,Næstved Bibliotek  og Borgerservice,"Korskildevej 2 A, Brøderup",55.1790671,Folkebibliotek,737005,11.9746628,Korskilde Bibliotek
,,,Næstved Bibliotek  og Borgerservice,,,Folkebibliotek,737013,,Karrebæksminde Bogautomat
,,,Næstved Bibliotek  og Borgerservice,,,Folkebibliotek,737014,,Bogautomat Sct. Jørgens Park
,,,Næstved Bibliotek  og Borgerservice,,,Folkebibliotek,737015,,Materialehotel Næstved Bibliotek
4800,Nykøbing F,Guldborgsund,Guldborgsund-bibliotekerne,Kongens Gade 43,54.7693089,Folkebibliotek,737600,11.8698041,Hovedbiblioteket
4880,Nysted,Nysted,Guldborgsund-bibliotekerne,Adelgade 11,54.669328,Folkebibliotek,737601,11.728738,Nysted Bibliotek
4840,Nørre Alslev,Nørre Alslev Bibliotek,Guldborgsund-bibliotekerne,Helene Strangesvej 1,54.899552,Folkebibliotek,737602,11.873134,Nørre Alslev Bibliotek
4990,Sakskøbing,Sakskøbing,Guldborgsund-bibliotekerne,Rådhusgade 6,54.7977338,Folkebibliotek,737603,11.6353457,Sakskøbing Bibliotek
4850,Stubbekøbing,Stubbekøbing Bibliotek,Guldborgsund-bibliotekerne,Dosseringen 3,54.8913307,Folkebibliotek,737604,12.0413789,Stubbekøbing Bibliotek
4873,Væggerløse,Væggerløse Bibliotek,Guldborgsund-bibliotekerne,Stovbyvej 3,54.712927,Folkebibliotek,737605,11.923891,Væggerløse Bibliotek
4800,Nykøbing F,Gedser,Guldborgsund-bibliotekerne,Kongensgade 43,54.5758245,Folkebibliotek,737607,11.9305815,Servicepunkt Gedser
4760,Vordingborg,Vordingborg Bibliotekerne,Vordingborg Bibliotekerne,Sydhavnsvej 6,54.99743,Folkebibliotek,739000,11.891686,Vordingborg Bibliotek
4780,Stege,Møn Bibliotek,Vordingborg Bibliotekerne,Møllebrøndstræde 12,54.987522,Folkebibliotek,739001,12.288116,Møn Bibliotek
4720,Præstø,Præstø Bibliotek,Vordingborg Bibliotekerne,Lindevej 45,55.1211763,Folkebibliotek,739002,12.0477779,Præstø Bibliotek
4750,Lundby,Lundby Bibliotek,Vordingborg Bibliotekerne,Lundby Hovedgade 100,55.109232,Folkebibliotek,739003,11.879155,Lundby Bibliotek
4760,Vordingborg,Bogbus Vordingborg,Vordingborg Bibliotekerne,Sydhavnsvej 6,54.99743,Folkebibliotek,739004,11.891686,Bogbus Vordingborg
4760,Vordingborg,Servicepunkt VG & HF,Vordingborg Bibliotekerne,Chr. Richardtsvej 45,55.0145585,Folkebibliotek,739011,11.914924,Servicepunkt Vordingborg Gymnasium & HF
3700,Rønne,Rønne Bibliotek,Bornholms Folkebiblioteker,Pingels Alle 1,55.101762,Folkebibliotek,740000,14.707298,"Bornholms Folkebiblioteker, Rønne Bibliotek"
3770,Allinge,Allinge Bibliotek,Bornholms Folkebiblioteker,Sverigesvej 1,55.279969,Folkebibliotek,740001,14.799211,"Bornholms Folkebiblioteker, Allinge Bibliotek"
3760,Gudhjem,Gudhjem Bibliotek,Bornholms Folkebiblioteker,Åbogade 7,55.21197,Folkebibliotek,740002,14.970807,"Bornholms Folkebiblioteker, Gudhjem Bibliotek"
3790,Hasle,Hasle,Bornholms Folkebiblioteker,Kirkegade 4,55.1807085,Folkebibliotek,740003,14.7152359,"Bornholms Folkebiblioteker, Hasle Bibliotek"
3730,Nexø,Nexø Bibliotek,Bornholms Folkebiblioteker,Kildestræde 20,55.0615235,Folkebibliotek,740006,15.1288394,"Bornholms Folkebiblioteker, Nexø Bibliotek"
3740,Svaneke,Svaneke,Bornholms Folkebiblioteker,Borgergade 4,55.136911,Folkebibliotek,740007,15.140331,"Bornholms Folkebiblioteker, Svaneke Bibliotek"
3720,Aakirkeby,Aakirkeby Bibliotek,Bornholms Folkebiblioteker,Hans Rømersvej 27,55.070708,Folkebibliotek,740008,14.92362,"Bornholms Folkebiblioteker, Aakirkeby Bibliotek"
3760,Gudhjem,Christiansø Bibliotek,Bornholms Folkebiblioteker,Christiansø,55.3220752,Folkebibliotek,740009,15.1837394,"Bornholms Folkebiblioteker, Christiansø Bibliotek"
5500,Middelfart,Middelfart,Middelfart Bibliotek,KulturØen Havnegade 6,55.5057034,Folkebibliotek,741000,9.7366813,Middelfart Bibliotek
5500,Middelfart,Strib,Middelfart Bibliotek,Vestergade 16,55.54142,Folkebibliotek,741001,9.763785,Strib Bibliotek
5592,Ejby,Ejby Bibliotek,Middelfart Bibliotek,Anlægsvej 4A,55.43147,Folkebibliotek,741002,9.9332689,Ejby Bibliotek
5580,Nørre Åby,Nørre Aaby Folkebibliotek,Middelfart Bibliotek,Østergade 19,55.459909,Folkebibliotek,741003,9.876438,Nørre Aaby Bibliotek
5610,Assens,Assens Bibliotek,AssensBibliotekerne,Korsvangcentret,55.270035,Folkebibliotek,742000,9.914184,Assens Bibliotek
5620,Glamsbjerg,Glamsbjerg Bibliotek,AssensBibliotekerne,Søndergade 3 A,55.2785539,Folkebibliotek,742001,10.1052147,Glamsbjerg Lokalbibliotek
5683,Haarby,Haarby Bibliotek,AssensBibliotekerne,Skolevej 10 A,55.222348,Folkebibliotek,742002,10.1243079,Hårby Lokalbibliotek
5690,Tommerup,Tommerup Bibliotek,AssensBibliotekerne,Tallerupvej 85,55.340236,Folkebibliotek,742003,10.18116,Tommerup Lokalbibliotek
5492,Vissenbjerg,Vissenbjerg Bibliotek,AssensBibliotekerne,Vestergade 2,55.3852754,Folkebibliotek,742004,10.1313915,Vissenbjerg Lokalbibliotek
5560,Aarup,Aarup Bibliotek,AssensBibliotekerne,Bredgade 73,55.3786736,Folkebibliotek,742005,10.047568,Årup Lokalbibliotek
5600,Faaborg,Faaborg Bibliotek,Faaborg-Midtfyn Bibliotekerne,Herregårdscentret,55.1012989,Folkebibliotek,743000,10.2407226,Faaborg Bibliotek
5750,Ringe,Ringe Bibliotek,Faaborg-Midtfyn Bibliotekerne,Algade 40,55.237028,Folkebibliotek,743001,10.4792076,Ringe Bibliotek
5792,Årslev,Årslev Bibliotek,Faaborg-Midtfyn Bibliotekerne,Kirkevej 14,55.3083181,Folkebibliotek,743002,10.4901691,Årslev Bibliotek
5672,Broby,Broby Bibliotek,Faaborg-Midtfyn Bibliotekerne,Egeballe 4 A,55.256033,Folkebibliotek,743003,10.235524,Broby Bibliotek
5600,Faaborg,Lyø Bibliotek,Faaborg-Midtfyn Bibliotekerne,Lyø,,Folkebibliotek,743006,,Lyø Bibliotek
5330,Munkebo,Kerteminde Bibliotekerne,Kerteminde Bibliotekerne,Lindøalléen 47,55.4591045,Folkebibliotek,744000,10.5582028,Munkebo Bibliotek
5300,Kerteminde,Kerteminde Bibliotek,Kerteminde Bibliotekerne,Strandvejen 4-6,55.4492163,Folkebibliotek,744001,10.6575406,Kerteminde Bibliotek
5550,Langeskov,Langeskov Bibliotek,Kerteminde Bibliotekerne,Jernbanegade 14,55.3600957,Folkebibliotek,744002,10.5916411,Langeskov Bibliotek
5800,Nyborg,Nyborg Bibliotek,Nyborg Bibliotek,Torvet,55.3128806,Folkebibliotek,745000,10.7892488,Nyborg Bibliotek
5540,Ullerslev,Ullerslev  Bibliotek,Nyborg Bibliotek,Skolevej 2,55.359899,Folkebibliotek,745001,10.6709859,Ullerslev Bibliotek
5853,Ørbæk,Ørbæk Bibliotek,Nyborg Bibliotek,"Ørbæk Midtpunkt,
Langemosevej 5",55.253823,Folkebibliotek,745002,10.674902,Ørbæk Bibliotek
5000,Odense C,Hovedbiblioteket,Odense Bibliotekerne,Østre Stationsvej 15,55.40116,Folkebibliotek,746100,10.388635,Odense Bibliotekerne
5200,Odense V.,Bolbro Bibliotek,Odense Bibliotekerne,Middelfartvej 81,55.394197,Folkebibliotek,746102,10.35157,Bolbro Bibliotek
5250,Odense SV,Dalum Bibliotek,Odense Bibliotekerne,Dalumvej 95,55.365681,Folkebibliotek,746103,10.373476,Dalum Bibliotek
5260,Odense S,Højby Bibliotek,Odense Bibliotekerne,Nørrelunden 20,55.332962,Folkebibliotek,746104,10.44119,Højby Bibliotek
5000,Odense C,Lokalhistorisk Bibliotek,Odense Bibliotekerne,Klosterbakken 2,,Folkebibliotek,746105,,Lokalhistorisk Bibliotek
5000,Odense C,Musikbiblioteket,Odense Bibliotekerne,Østre Stationsvej 33,55.3998169,Folkebibliotek,746106,10.38157,Musikbiblioteket
5210,Odense NV,Tarup Bibliotek,Odense Bibliotekerne,Rugvang 40,55.410381,Folkebibliotek,746110,10.33609,Tarup Bibliotek
5240,Odense NØ,Vollsmose Bibliotek,Odense Bibliotekerne,Vollsmose Alle 10,55.4067885,Folkebibliotek,746111,10.441249,Vollsmose Bibliotek
5220,Odense SØ,Holluf Pile Bibliotek,Odense Bibliotekerne,Nøglens Kvarter 10,55.3660934,Folkebibliotek,746112,10.4496394,Holluf Pile Bibliotek
5210,Odense NV,Korup Bibliotek,Odense Bibliotekerne,Præstevej 12,55.4216361,Folkebibliotek,746113,10.2664359,Korup Bibliotek
5700,Svendborg,Svendborg Bibliotek,Svendborg Bibliotek,Svinget 1,55.0616454,Folkebibliotek,747900,10.6028347,Svendborg Bibliotek
5700,Svendborg.,"Thurø Bibliotek,",Svendborg Bibliotek,"Bergmannsvej 25,",55.0482152,Folkebibliotek,747901,10.6700866,Thurø Bibliotek
5881,Skårup,"Skårup Bibliotek,",Svendborg Bibliotek,Åbyvejen 43,55.09382,Folkebibliotek,747902,10.6891269,Skårup Bibliotek
5700,Svendborg,Landet Bibliotek,Svendborg Bibliotek,"Biblioteksvej 1, Landet,",54.998477,Folkebibliotek,747904,10.596785,Landet Bibliotek
5700,Svendborg.,Drejø Bibliotek,Svendborg Bibliotek,Drejø,54.9702467,Folkebibliotek,747906,10.4190476,Drejø Bibliotek
5884,Gudme,Gudme Bibliotek,Svendborg Bibliotek,Højsagervej 6,55.1528528,Folkebibliotek,747907,10.7070899,Gudme Bibliotek
5771,Stenstrup,Stenstrup Bibliotek,Svendborg Bibliotek,Skolevej 2,55.132434,Folkebibliotek,747908,10.502222,Stenstrup Bibliotek
5762,Vester Skerninge,Vester Skerninge Bibliotek,Svendborg Bibliotek,Fåborgvej 53,55.0732223,Folkebibliotek,747909,10.4492831,Vester Skerninge Bibliotek
5450,Otterup,Otterup Bibliotek,Bibliotek og Borgerservice Nordfyns Kommune,Søndergade 2,55.51501,Folkebibliotek,748000,10.399024,Otterup Bibliotek
5471,Søndersø,Søndersø Bibliotek,Bibliotek og Borgerservice Nordfyns Kommune,Odensevej 8,55.485419,Folkebibliotek,748001,10.251064,Søndersø Bibliotek
5400,Bogense,Bogense Bibliotek,Bibliotek og Borgerservice Nordfyns Kommune,Vestergade 24,55.5640197,Folkebibliotek,748002,10.0883486,Bogense Bibliotek
5900,Rudkøbing,Langeland Bibliotek,Langeland Bibliotek,Østerport 5-7,54.935363,Folkebibliotek,748200,10.717631,Langeland Bibliotek
5900,Rudkøbing,Langeland Bogbil,Langeland Bibliotek,Østerport 5-7,54.935363,Folkebibliotek,748210,10.717631,Langeland Biblioteks Bogbil
5970,Ærøskøbing,Ærøskøbing Bibliotek,Ærø Folkebibliotek,Søndergade 16B,54.8877595,Folkebibliotek,749200,10.4111674,Ærø Folkebibliotek
5960,Marstal,Marstal Bibliotek,Ærø Folkebibliotek,Skolegade 28,54.8535433,Folkebibliotek,749201,10.5187728,Marstal Bibliotek
6100,Haderslev,Haderslev Bibliotek,Haderslev Bibliotekerne,Bispebroen 3,55.250414,Folkebibliotek,751000,9.484711,Haderslev Bibliotek
6510,Gram,Gram Bibliotek,Haderslev Bibliotekerne,Østergade 10,55.2870143,Folkebibliotek,751001,9.0508825,Gram Bibliotek
6500,Vojens,Vojens Bibliotek,Haderslev Bibliotekerne,Rådhuscentret 7,55.2448007,Folkebibliotek,751002,9.293324,Vojens Bibliotek
7200,Grindsted,Magion Biblioteket,Billund Bibliotekerne og Borgerservice,Tinghusgade 15,55.7529351,Folkebibliotek,753000,8.9212072,Magion Bibliotek
7190,Billund,Billund Bibliotek,Billund Bibliotekerne og Borgerservice,Hans Jensens Vej 6,55.7306555,Folkebibliotek,753001,9.1180936,Billund Bibliotek
6623,Vorbasse,Vorbasse Bibliotek,Billund Bibliotekerne og Borgerservice,Drivvejen 1,55.6272591,Folkebibliotek,753002,9.0819464,Vorbasse Bibliotek
7260,Sdr. Omme,Sdr. Omme Bibliotek,Billund Bibliotekerne og Borgerservice,Stadion Alle 16,55.840727,Folkebibliotek,753003,8.891382,Sdr. Omme Bibliotek
6400,Sønderborg,Sønderborg,Biblioteket Sønderborg,Kongevej 19-27,54.910175,Folkebibliotek,754000,9.7961639,Biblioteket Sønderborg
6440,Augustenborg,Augustenborg,Biblioteket Sønderborg,Kettingvej 1 a,54.9466504,Folkebibliotek,754001,9.8725239,Biblioteket Augustenborg
6310,Broager,Broager,Biblioteket Sønderborg,Storegade 6 A,54.889586,Folkebibliotek,754002,9.674497,Biblioteket Broager
6400,Sønderborg,Dybbøl,Biblioteket Sønderborg,Gammel Aabenraavej 20A,54.911066,Folkebibliotek,754003,9.766716,Biblioteket Dybbøl
6300,Gråsten,Gråsten,Biblioteket Sønderborg,Ahlefeldvej 4,54.919526,Folkebibliotek,754004,9.5905919,Biblioteket Gråsten
6430,Nordborg,Guderup,Biblioteket Sønderborg,Skolegade 21,54.991824,Folkebibliotek,754005,9.863988,Guderup
6430,Nordborg,Nordborg,Biblioteket Sønderborg,Løjtertoft 7,55.056813,Folkebibliotek,754006,9.7491,Biblioteket Nordborg
6400,Sønderborg,Vester Sottrup,Biblioteket Sønderborg,"Skolevej 8,
Vester Sottrup",54.949691,Folkebibliotek,754007,9.699548,Biblioteket Sottrup
6470,Sydals,Hørup,Biblioteket Sønderborg,Knøs Gård 1,54.9141624,Folkebibliotek,754008,9.8939423,Biblioteket Hørup
6400,Sønderborg,Ulkebøl,Biblioteket Sønderborg,"Torvet 14, Ulkebøl",54.9244842,Folkebibliotek,754009,9.8218802,Biblioteket Ulkebøl
6440,Augustenborg,Fynshav,Biblioteket Sønderborg,"Gyden 96
Fynshav",54.981904,Folkebibliotek,754010,9.973299,Fynshav
6270,Tønder,Tønder Bibliotek,Tønder Kommunes Biblioteker,Richtsensgade 10,54.937416,Folkebibliotek,755000,8.86881,Tønder Bibliotek
6261,Bredebro,Bredebro Afhentningssted,Tønder Kommunes Biblioteker,Langagervej 64,,Folkebibliotek,755001,,Bredebro Afhentningssted
6280,Højer,Højer Afhentningssted,Tønder Kommunes Biblioteker,Kirkegårdsgade 3,,Folkebibliotek,755002,,Højer Afhentningssted
6240,Løgumkloster,Løgumkloster Bibliotek,Tønder Kommunes Biblioteker,Storegade 16,55.058407,Folkebibliotek,755003,8.9517149,Løgumkloster Bibliotek
6780,Skærbæk,Skærbæk Bibliotek,Tønder Kommunes Biblioteker,Jernbanegade 2,55.1581825,Folkebibliotek,755004,8.7693312,Skærbæk Bibliotek
6520,Toftlund,Toftlund Bibliotek,Tønder Kommunes Biblioteker,Toldbodgade 8,55.1920345,Folkebibliotek,755005,9.0607401,Toftlund Bibliotek
6700,Esbjerg,Esbjerg Hovedbibliotek,Esbjerg Kommunes Biblioteker,Nørregade 19,55.469201,Folkebibliotek,756100,8.454726,Esbjerg Hovedbibliotek
6710,Esbjerg V.,Sædding,Esbjerg Kommunes Biblioteker,"Sædding Centret, Tarphagevej",55.498485,Folkebibliotek,756101,8.4077023,Sædding Bibliotek
6705,Esbjerg Ø,Kvaglund,Esbjerg Kommunes Biblioteker,"Kvaglund Centret, Kvaglundparken 12",55.4944916,Folkebibliotek,756102,8.4865076,Kvaglund Bibliotek
6731,Tjæreborg,Tjæreborg,Esbjerg Kommunes Biblioteker,Skolevej 44,55.4633716,Folkebibliotek,756103,8.5839621,Tjæreborg Bibliotek
6720,Fanø,"Nordby, Fanø",Esbjerg Kommunes Biblioteker,"Nordby Skole,
Stadionvej 17",55.4458849,Folkebibliotek,756116,8.395245,Nordby Bibliotek
6720,Fanø,Sønderho Bibliotek,Esbjerg Kommunes Biblioteker,Landevejen 35-41,55.3498956,Folkebibliotek,756117,8.4685652,Sønderho Bibliotek
6701,Esbjerg,Bogbussen,Esbjerg Kommunes Biblioteker,Nørregade 19,55.469201,Folkebibliotek,756120,8.454726,Bogbus
6760,Ribe,Ribe Bibliotek,Esbjerg Kommunes Biblioteker,Simon Hansens Vej 1,55.331276,Folkebibliotek,756121,8.773581,Ribe Bibliotek
6740,Bramming,Bramming Bibliotek,Esbjerg Kommunes Biblioteker,Sct. Knuds Alle 2,55.465751,Folkebibliotek,756122,8.703061,Bramming Bibliotek
6800,Varde,Varde Bibliotek,Varde Bibliotek,Rådhusstræde 2,55.619605,Folkebibliotek,757300,8.479888,Varde Bibliotek
6840,Oksbøl,Oksbøl,Varde Bibliotek,Vestergade 29,55.6246442,Folkebibliotek,757301,8.2758978,Oksbøl Bibliotek
6830,Nørre Nebel,Nørre Nebel,Varde Bibliotek,Sønder Allé 21,55.77804,Folkebibliotek,757302,8.294803,Nr. Nebel Bibliotek
6800,Varde,Bogbussen,Varde Bibliotek,Rådhusstræde 2,55.619605,Folkebibliotek,757304,8.479888,Bogbussen
6753,Agerbæk,Agerbæk,Varde Bibliotek,Kærvej 2,55.599423,Folkebibliotek,757305,8.80186,Agerbæk Bibliotek
6870,Ølgod,Ølgod  Bibliotek,Varde Bibliotek,Vestergade 5,55.8081156,Folkebibliotek,757306,8.6170693,Ølgod Bibliotek
6600,Vejen,Vejen Bibliotek,Vejen Kommunes Biblioteker,Rådhuspassagen 8,55.4770455,Folkebibliotek,757500,9.1373525,Vejen Bibliotek
6650,Brørup,Brørup Bibliotek,Vejen Kommunes Biblioteker,"Stadionvej 6
Postbox 105",55.4828152,Folkebibliotek,757510,9.0184843,Brørup Bibliotek
6670,Holsted,Holsted,Vejen Kommunes Biblioteker,Højmarksvej 18,55.499229,Folkebibliotek,757520,8.913868,Holsted Bibliotek
6630,Rødding,Rødding Bibliotek,Vejen Kommunes Biblioteker,Søndergyden 15,55.365629,Folkebibliotek,757530,9.053921,Rødding Bibliotek
6600,Vejen,Vejen Bogbus,Vejen Kommunes Biblioteker,"Rådhuspassagen 8
Postbox 223",55.479224,Folkebibliotek,757533,9.137997,Vejen Bogbus
6200,Aabenraa,Aabenraa Bibliotek,Aabenraa Bibliotekerne,Haderslevvej 3,55.049899,Folkebibliotek,758000,9.420663,Aabenraa Bibliotek
6330,Padborg,Bov Bibliotek,Aabenraa Bibliotekerne,Bovvej 4,54.82788,Folkebibliotek,758001,9.3643059,Bov Bibliotek
6230,Rødekro,Rødekro Bibliotek,Aabenraa Bibliotekerne,Vestergade 20,55.072696,Folkebibliotek,758002,9.330898,Rødekro Bibliotek
6360,Tinglev,Tinglev Bibliotek,Aabenraa Bibliotekerne,Tinglev Midt,54.9357554,Folkebibliotek,758003,9.2510123,Tinglev Bibliotek
6200,Aabenraa,Felsted Bibliotek,Aabenraa Bibliotekerne,"Gråstenvej 12
Felsted",54.979424,Folkebibliotek,758004,9.4973986,Felsted Bibliotek
,,,Aabenraa Bibliotekerne,,,Folkebibliotek,758006,,Arena Aabenraa
7000,Fredericia,Fredericia Bibliotek,Fredericia Bibliotek,Prinsessegade 27,55.5668406,Folkebibliotek,760700,9.7578662,Fredericia Bibliotek
,,,Fredericia Bibliotek,,,Folkebibliotek,760702,,Medborgerhuset Korskær
7000,Fredericia,Taulov Bibliotek,Fredericia Bibliotek,"Højdedraget 2, Taulov",55.5389708,Folkebibliotek,760706,9.6095795,Taulov Bibliotek
7000,Fredericia,Erritsø afhentningssted,Fredericia Bibliotek,Krogsagervej 42,55.5410924,Folkebibliotek,760710,9.7106136,Erritsø-hallen afhentningssted
7000,Fredericia,Bredstrup-Pjedsted,Fredericia Bibliotek,Ågade 70 ,,Folkebibliotek,760711,,Bredstrup-Pjedsted
8700,Horsens,Horsens Bibliotek,Horsens Bibliotek,"Tobaksgården 12
Postbox 521",55.8581302,Folkebibliotek,761500,9.8475881,Horsens Bibliotek
8740,Brædstrup,Brædstrup Bibliotek,Horsens Bibliotek,Niels Wonges Vej 5,55.9738175,Folkebibliotek,761501,9.6097617,Brædstrup Bibliotek
8700,Horsens,Endelave,Horsens Bibliotek,"Kongevejen 30, Endelave",55.758652,Folkebibliotek,761502,10.276579,Endelave Bibliotek
8732,Hovedgård,Hovedgård Bibliotek,Horsens Bibliotek,Stationsvej 4,55.945973,Folkebibliotek,761503,9.9620979,Hovedgård Bibliotek
8751,Gedved,Gedved Bibliotek,Horsens Bibliotek,Kirkevej 16,55.931337,Folkebibliotek,761504,9.851996,Gedved Bibliotek
8752,Østbirk,Østbirk Bibliotek,Horsens Bibliotek,Peder Skrams Plads,55.9677728,Folkebibliotek,761505,9.7499507,Østbirk Bibliotek
8700,Horsens,Søvind Bibliotek,Horsens Bibliotek,"Ravnebjerget 12, Søvind",55.8965641,Folkebibliotek,761506,10.0015836,Søvind Bibliotek
6000,Kolding,Kolding Bibliotek,Koldingbibliotekerne,"Slotsmøllen
Slotssøvejen 4",55.491453,Folkebibliotek,762100,9.480069,Kolding Bibliotek
6640,Lunderskov,Lunderskov Bibliotek,Koldingbibliotekerne,Kobbelvænget 2,55.480407,Folkebibliotek,762102,9.292804,Lunderskov Bibliotek
6070,Christiansfeld,Christiansfeld Bibliotek,Koldingbibliotekerne,Gl. Kongevej 3,55.3547123,Folkebibliotek,762103,9.4859345,Christiansfeld Bibliotek
6580,Vamdrup,Vamdrup Bibliotek,Koldingbibliotekerne,Jernbanegade 1,55.426471,Folkebibliotek,762104,9.283146,Vamdrup Bibliotek
6040,Egtved,V. Nebel  Biblioteksstation,Koldingbibliotekerne,"Dagli'Brugsen
Koldingvej 2",55.5676728,Folkebibliotek,762105,9.4011434,Vester Nebel Biblioteksautomat
6051,Alminde,Alminde Biblioteksstation,Koldingbibliotekerne,Sysselbjergvej 6,55.56477,Folkebibliotek,762106,9.489804,Alminde Biblioteksautomat
6091,Bjert,Sdr. Bjert Biblioteksautomat,Koldingbibliotekerne,Vesterløkke 5,55.4579813,Folkebibliotek,762107,9.5575442,Sdr.Bjert Biblioteksautomat
6064,Jordrup,Jordrup Biblioteksautomat,Koldingbibliotekerne,Hovedgaden 43,55.553925,Folkebibliotek,762108,9.312341,Jordrup Biblioteksautomat
6094,Hejls,Hejls Biblioteksautomat,Koldingbibliotekerne,Hejls Landevej 34,55.382884,Folkebibliotek,762109,9.578189,Hejls Biblioteksautomat
7100,Vejle,Vejle Bibliotekerne,Vejle Bibliotekerne,Willy Sørensens Plads 1,55.706406,Folkebibliotek,763000,9.520034,Vejle Bibliotek
7323,Give,Give Bibliotek,Vejle Bibliotekerne,Rådhusbakken 9,55.8438412,Folkebibliotek,763001,9.2370145,Give Bibliotek
7300,Jelling,Jelling Bibliotek,Vejle Bibliotekerne,Møllegade 10,55.754741,Folkebibliotek,763002,9.418115,Jelling Bibliotek
6040,Egtved,Egtved Bibliotek,Vejle Bibliotekerne,Tybovej 2,55.6204166,Folkebibliotek,763003,9.3103449,Egtved Bibliotek
