postnr,by,kortnavn,væsensnavn,adresse,latitude,bibliotekstype,id,longitude,navn
2605,Brøndby,Brøndbyvester,Brøndby-Bibliotekerne,Glentemosen 13,55.65282,Folkebibliotek,715301,12.408298,Brøndbyvester Bibliotek
2660,Brøndby Strand,Brønden,Brøndby-Bibliotekerne,Brønden Brøndby Strand Centrum 60,55.6232944,Folkebibliotek,715302,12.4233432,Biblioteket i Brønden
2791,Dragør,Dragør Bibliotek,Dragør Bibliotekerne,Vestgrønningen 18-20,55.5932177,Folkebibliotek,715500,12.6707656,Biblioteket i Dragør
2791,Dragør,Hollænderhallen,Dragør Bibliotekerne,Halvejen 3,55.594183,Folkebibliotek,715501,12.63912,Biblioteket i Hollænderhallen
,,,Dragør Bibliotekerne,,,Folkebibliotek,715502,,Lokalarkiv
2900,Hellerup,Gentofte Bibliotekerne,Gentofte Bibliotekerne,Ahlmanns Alle 6,55.737459,Folkebibliotek,715700,12.573438,Gentofte Bibliotekerne. Hovedbiblioteket
2920,Charlottenlund,Ordrup,Gentofte Bibliotekerne,Ejgårdsvej 11,55.7580265,Folkebibliotek,715701,12.5714021,Ordrup Bibliotek
2820,Gentofte,Vangede,Gentofte Bibliotekerne,Vangede Bygade 45,55.751032,Folkebibliotek,715702,12.5184979,Vangede Bibliotek
2820,Gentofte,Gentoftegade,Gentofte Bibliotekerne,Gentoftegade 45,55.746455,Folkebibliotek,715703,12.541343,Gentoftegade Bibliotek
2900,Dyssegård,Dyssegård,Gentofte Bibliotekerne,Dyssegårdsvej 24,55.732251,Folkebibliotek,715704,12.538733,Dyssegård Bibliotek
2820,Gentofte,Jægersborg,Gentofte Bibliotekerne,Smakkegårdsvej 112,55.7615678,Folkebibliotek,715705,12.5269871,Jægersborg Bibliotek
2860,Søborg,Gladsaxe Hovedbibliotek,Gladsaxe Bibliotekerne,Søborg Hovedgade 220,55.7423172,Folkebibliotek,715900,12.4949918,"Gladsaxe Bibliotekerne, Hovedbiblioteket"
2880,Bagsværd,Bibliografen,Gladsaxe Bibliotekerne,Bagsværd Hovedgade 116,55.7606338,Folkebibliotek,715902,12.4557026,Bibliografen  Bagsværd
2860,Søborg,Høje Gladsaxe,Gladsaxe Bibliotekerne,Høje Gladsaxe Torv 2A,55.730211,Folkebibliotek,715903,12.497613,Høje Gladsaxe Bibliotek
2860,Søborg,Mørkhøj,Gladsaxe Bibliotekerne,Ilbjerg Alle 38A,55.723797,Folkebibliotek,715904,12.469845,Mørkhøj Bibliotek
2880,Bagsværd,Værebro,Gladsaxe Bibliotekerne,Værebrovej 72,55.758464,Folkebibliotek,715905,12.439297,Værebro Bibliotek
2600,Glostrup,Glostrup Bibliotek,Glostrup Bibliotek,Kildevældets Alle 5,55.66366,Folkebibliotek,716100,12.3938279,Glostrup Bibliotek
2730,Herlev,Herlev Bibliotek,Herlev Bibliotek,Herlev Bygade 70,55.725455,Folkebibliotek,716300,12.435548,Herlev-Bibliotek. Hovedbiblioteket
